,id,pid,lot_subclass,lot_zone,lot_frontage,lot_area,access_road,access_alley,lot_shape,land_contour,utilities_type,lot_config,land_slope,neighborhood,cond_1,cond_2,house_type,house_style,house_qual,house_cond,year_built,year_remodel,roof_style,roof_material,exterior_type1,exterior_type2,wall_type,wall_area,exterior_qual,exterior_cond,foundation_type,bsmt_qual,bsmt_cond,bsmt_area,bsmt_type1_score,bsmt_type1_area,bsmt_type2_score,bsmt_type2_area,bsmt_unfinish_area,bsmt_total_area,heating_type,heating_cond,central_aircond,electrical_type,floor_1_area,floor_2_area,floor_lowqual_total_area,ground_total_area,bath_full_bsmt_num,bath_half_bsmt_num,bath_full_bsmt_num,bath_full_ground_num,bath_half_ground_num,kitchen_num,kitchen_qual,rooms_num,house_fn,fireplace_num,fireplace_score,garage_type,garage_year,garage_finish,garage_car_num,garage_area,garage_qual,garage_cond,driveway_type,wooddeck_area,porch_open_area,porch_enclosed_area,porch_3season_area,porch_screen_area,pool_area,pool_qual,fence_num,misc_feature,misc_value,sold_month,sold_year,sale_type,sale_price,interact_01,interact_02,interact_03
0,109,533352170,60,RL,,13517,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,0.6,0.8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,0.8,0.6,CBlock,0.6,0.6,No,1.0,533.0,0.16666666666666666,0.0,192.0,725.0,GasA,1.0,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,0.8,6,Typ,0,,Attchd,1976.0,RFn,2.0,475.0,0.6,0.6,Y,0,44,0,0,0,0,,,,0,3,2010,WD ,130500,3961880,1203.0,887.4
1,544,531379050,60,RL,43.0,11492,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,0.7,0.5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,0.8,0.6,PConc,0.8,0.6,No,1.0,637.0,0.16666666666666666,0.0,276.0,913.0,GasA,1.0,Y,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,0.8,8,Typ,1,0.6,Attchd,1997.0,RFn,2.0,559.0,0.6,0.6,Y,0,74,0,0,0,0,,,,0,4,2009,WD ,220000,3986012,1397.8999999999999,1485.3999999999999
2,153,535304180,20,RL,68.0,7922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,0.5,0.7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.6,0.8,CBlock,0.6,0.6,No,1.0,731.0,0.16666666666666666,0.0,326.0,1057.0,GasA,0.6,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,0.8,5,Typ,0,,Detchd,1953.0,Unf,1.0,246.0,0.6,0.6,Y,0,52,0,0,0,0,,,,0,1,2010,WD ,109000,3919671,1003.5,528.5
3,318,916386060,60,RL,73.0,9802,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,0.5,0.5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.6,0.6,PConc,0.8,0.6,No,0.16666666666666666,0.0,0.16666666666666666,0.0,384.0,384.0,GasA,0.8,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,0.6,7,Typ,0,,BuiltIn,2007.0,Fin,2.0,400.0,0.6,0.6,Y,100,0,0,0,0,0,,,,0,4,2010,WD ,174000,4026042,1003.5,722.0
4,255,906425045,50,RL,82.0,14235,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,0.6,0.8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,0.6,0.6,PConc,0.4,0.8,No,0.16666666666666666,0.0,0.16666666666666666,0.0,676.0,676.0,GasA,0.6,Y,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,0.6,6,Typ,0,,Detchd,1957.0,Unf,2.0,484.0,0.6,0.6,N,0,59,0,0,0,0,,,,0,3,2010,WD ,138500,3786700,1195.8,867.0
5,138,535126040,20,RL,137.0,16492,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,0.6,0.6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,0.8,0.6,CBlock,0.6,0.6,No,0.8333333333333334,247.0,0.5,713.0,557.0,1517.0,GasA,1.0,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,0.8,6,Mod,1,0.8,Attchd,1966.0,Fin,2.0,578.0,0.6,0.6,Y,0,0,0,0,0,0,,,,0,6,2010,WD ,190000,3935932,1201.2,1132.8
6,2827,908186070,180,RM,35.0,3675,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,0.6,0.5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,0.6,0.6,PConc,0.8,0.6,Gd,1.0,547.0,0.16666666666666666,0.0,0.0,547.0,GasA,0.8,Y,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,0.6,5,Typ,0,,Basment,2005.0,Fin,2.0,525.0,0.6,0.6,Y,0,44,0,0,0,0,,,,0,6,2006,New,140000,4022030,1203.6,643.1999999999999
7,145,535154050,20,RL,,12160,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,0.5,0.5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,0.6,0.6,CBlock,0.6,0.6,No,0.5,1000.0,0.16666666666666666,0.0,188.0,1188.0,GasA,0.4,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,0.6,6,Typ,0,,Attchd,1959.0,RFn,2.0,531.0,0.6,0.6,Y,0,0,0,0,0,0,,MnPrv,,0,5,2010,COD,142000,3837681,979.5,594.0
8,1942,535353130,20,RL,,15783,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,0.5,0.5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,0.6,0.6,CBlock,0.6,0.6,No,0.5,292.0,0.16666666666666666,0.0,632.0,924.0,GasA,0.6,Y,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,0.6,6,Typ,0,,Detchd,1952.0,Unf,1.0,420.0,0.6,0.6,Y,0,324,0,0,0,0,,MnPrv,Shed,400,6,2007,WD ,112500,3810304,976.0,462.0
9,1956,535426130,60,RL,70.0,11606,Pave,,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,0.5,0.5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,0.6,0.6,PConc,0.8,0.6,Av,0.5,650.0,0.16666666666666666,0.0,390.0,1040.0,GasA,0.6,Y,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,0.4,9,Typ,2,0.6,Attchd,1969.0,Unf,2.0,504.0,0.6,0.6,Y,335,0,0,0,0,0,,,,0,9,2007,WD ,135000,3876961,984.5,1040.0
