old_name,new_name,type,feature
Id,id,,
PID,pid,,
MS SubClass,lot_subclass,Dummy,Yes
MS Zoning,lot_zone,Dummy,Yes
Lot Frontage,lot_frontage,,
Lot Area,lot_area,Scale,Yes
Street,access_road,Dummy,Yes
Alley,access_alley,Dummy,Yes
Lot Shape,lot_shape,Dummy,Yes
Land Contour,land_contour,Dummy,Yes
Utilities,utilities_type,Dummy,Yes
Lot Config,lot_config,Dummy,Yes
Land Slope,land_slope,Dummy,Yes
Neighborhood,neighborhood,Dummy,Yes
Condition 1,cond_1,,
Condition 2,cond_2,,
Bldg Type,house_type,Dummy,Yes
House Style,house_style,Dummy,Yes
Overall Qual,house_qual,Dummy,Yes
Overall Cond,house_cond,Dummy,Yes
Year Built,year_built,Scale,Yes
Year Remod/Add,year_remodel,Scale,Yes
Roof Style,roof_style,Dummy,Yes
Roof Matl,roof_material,Dummy,Yes
Exterior 1st,exterior_type1,Dummy,Yes
Exterior 2nd,exterior_type2,Dummy,Yes
Mas Vnr Type,wall_type,Dummy,Yes
Mas Vnr Area,wall_area,,
Exter Qual,exterior_qual,Dummy,Yes
Exter Cond,exterior_cond,Dummy,Yes
Foundation,foundation_type,Dummy,Yes
Bsmt Qual,bsmt_qual,Dummy,Yes
Bsmt Cond,bsmt_cond,Dummy,Yes
Bsmt Exposure,bsmt_area,Dummy,Yes
BsmtFin Type 1,bsmt_type1_score,Dummy,Yes
BsmtFin SF 1,bsmt_type1_area,Scale,Yes
BsmtFin Type 2,bsmt_type2_score,Dummy,Yes
BsmtFin SF 2,bsmt_type2_area,Scale,Yes
Bsmt Unf SF,bsmt_unfinish_area,Scale,Yes
Total Bsmt SF,bsmt_total_area,Scale,Yes
Heating,heating_type,Dummy,Yes
Heating QC,heating_cond,Dummy,Yes
Central Air,central_aircond,Dummy,Yes
Electrical,electrical_type,Dummy,Yes
1st Flr SF,floor_1_area,Scale,Yes
2nd Flr SF,floor_2_area,Scale,Yes
Low Qual Fin SF,floor_lowqual_total_area,Scale,Yes
Gr Liv Area,grd_total_area,Scale,Yes
Bsmt Full Bath,bath_full_bsmt_num,Scale,Yes
Bsmt Half Bath,bath_half_bsmt_num,Scale,Yes
Full Bath,bath_full_grd_num,Scale,Yes
Half Bath,bath_half_grd_num,Scale,Yes
Bedroom AbvGr,bedroom_grd_num,Scale,Yes
Kitchen AbvGr,kitchen_num,Scale,Yes
Kitchen Qual,kitchen_qual,Dummy,Yes
TotRms AbvGrd,rooms_num,Scale,Yes
Functional,house_fn,Dummy,Yes
Fireplaces,fireplace_num,Scale,Yes
Fireplace Qu,fireplace_score,Dummy,Yes
Garage Type,garage_type,Dummy,Yes
Garage Yr Blt,garage_year,,
Garage Finish,garage_finish,Dummy,Yes
Garage Cars,garage_car_num,Scale,Yes
Garage Area,garage_area,Scale,Yes
Garage Qual,garage_qual,Dummy,Yes
Garage Cond,garage_cond,Dummy,Yes
Paved Drive,driveway_type,Dummy,Yes
Wood Deck SF,wooddeck_area,Scale,Yes
Open Porch SF,porch_open_area,Scale,Yes
Enclosed Porch,porch_enclosed_area,Scale,Yes
3Ssn Porch,porch_3season_area,Scale,Yes
Screen Porch,porch_screen_area,Scale,Yes
Pool Area,pool_area,Scale,Yes
Pool QC,pool_qual,Dummy,Yes
Fence,fence_qual,Dummy,Yes
Misc Feature,misc_feature,Dummy,Yes
Misc Val,misc_value,Scale,Yes
Mo Sold,sold_month,Date,
Yr Sold,sold_year,Date,
Sale Type,sale_type,Dummy,Yes
SalePrice,sale_price,Target,
