old_name,new_name,type,feature
Id,id,,
PID,pid,,
MS SubClass,lot_subclass,Dummy,
MS Zoning,lot_zone,Dummy,
Lot Frontage,lot_frontage,,
Lot Area,lot_area,Scale,Yes
Street,access_road,Dummy,
Alley,access_alley,Dummy,
Lot Shape,lot_shape,Dummy,
Land Contour,land_contour,Dummy,
Utilities,utilities_type,Dummy,
Lot Config,lot_config,Dummy,
Land Slope,land_slope,Dummy,
Neighborhood,neighborhood,Dummy,
Condition 1,cond_1,Set,
Condition 2,cond_2,Set,
Bldg Type,house_type,Dummy,
House Style,house_style,Dummy,
Overall Qual,house_qual,Dummy,
Overall Cond,house_cond,Dummy,
Year Built,year_built,Scale,Yes
Year Remod/Add,year_remodel,Scale,Yes
Roof Style,roof_style,Dummy,
Roof Matl,roof_material,Dummy,
Exterior 1st,exterior_type1,Dummy,
Exterior 2nd,exterior_type2,Dummy,
Mas Vnr Type,wall_type,Dummy,
Mas Vnr Area,wall_area,Dummy,
Exter Qual,exterior_qual,Dummy,
Exter Cond,exterior_cond,Dummy,
Foundation,foundation_type,Dummy,
Bsmt Qual,bsmt_qual,Dummy,
Bsmt Cond,bsmt_cond,Dummy,
Bsmt Exposure,bsmt_area,Dummy,
BsmtFin Type 1,bsmt_type1_score,Dummy,
BsmtFin SF 1,bsmt_type1_area,Scale,Yes
BsmtFin Type 2,bsmt_type2_score,Dummy,
BsmtFin SF 2,bsmt_type2_area,Scale,Yes
Bsmt Unf SF,bsmt_unfinish_area,Scale,Yes
Total Bsmt SF,bsmt_total_area,Scale,Yes
Heating,heating_type,Dummy,
Heating QC,heating_cond,Dummy,
Central Air,central_aircond,Dummy,
Electrical,electrical_type,Dummy,
1st Flr SF,floor_1_area,Scale,Yes
2nd Flr SF,floor_2_area,Scale,Yes
Low Qual Fin SF,floor_lowqual_total_area,Scale,Yes
Gr Liv Area,grd_total_area,Scale,Yes
Bsmt Full Bath,bath_full_bsmt_num,Scale,Yes
Bsmt Half Bath,bath_half_bsmt_num,Scale,Yes
Full Bath,bath_full_grd_num,Scale,Yes
Half Bath,bath_half_grd_num,Scale,Yes
Bedroom AbvGr,bedroom_grd_num,Scale,Yes
Kitchen AbvGr,kitchen_num,Scale,Yes
Kitchen Qual,kitchen_qual,Dummy,
TotRms AbvGrd,rooms_num,Scale,Yes
Functional,house_fn,Dummy,
Fireplaces,fireplace_num,Scale,Yes
Fireplace Qu,fireplace_score,Dummy,
Garage Type,garage_type,Dummy,
Garage Yr Blt,garage_year,,
Garage Finish,garage_finish,Dummy,
Garage Cars,garage_car_num,Scale,Yes
Garage Area,garage_area,Scale,Yes
Garage Qual,garage_qual,Dummy,
Garage Cond,garage_cond,Dummy,
Paved Drive,driveway_type,Dummy,
Wood Deck SF,wooddeck_area,Scale,Yes
Open Porch SF,porch_open_area,Scale,Yes
Enclosed Porch,porch_enclosed_area,Scale,Yes
3Ssn Porch,porch_3season_area,Scale,Yes
Screen Porch,porch_screen_area,Scale,Yes
Pool Area,pool_area,Scale,Yes
Pool QC,pool_qual,Dummy,
Fence,fence_qual,Dummy,
Misc Feature,misc_feature,Dummy,
Misc Val,misc_value,Scale,Yes
Mo Sold,sold_month,Date,
Yr Sold,sold_year,Date,
Sale Type,sale_type,Dummy,
SalePrice,sale_price,Target,
