,old_name,new_name,type,feature
0,Id,id,,
1,PID,pid,,
2,MS SubClass,lot_subclass,Dummy,Yes
3,MS Zoning,lot_zone,Dummy,Yes
4,Lot Frontage,lot_frontage,,
5,Lot Area,lot_area,Scale,Yes
6,Street,access_road,Dummy,
7,Alley,access_alley,Dummy,
8,Lot Shape,lot_shape,Dummy,
9,Land Contour,land_contour,Dummy,
10,Utilities,utilities_type,Dummy,
11,Lot Config,lot_config,Dummy,
12,Land Slope,land_slope,Dummy,
13,Neighborhood,neighborhood,Dummy,Yes
14,Condition 1,cond_1,Set,
15,Condition 2,cond_2,Set,
16,Bldg Type,house_type,Dummy,
17,House Style,house_style,Dummy,
18,Overall Qual,house_qual,Dummy,
19,Overall Cond,house_cond,Dummy,
20,Year Built,year_built,Scale,Yes
21,Year Remod/Add,year_remodel,Scale,Yes
22,Roof Style,roof_style,Dummy,
23,Roof Matl,roof_material,Dummy,
24,Exterior 1st,exterior_type1,Dummy,
25,Exterior 2nd,exterior_type2,Dummy,
26,Mas Vnr Type,wall_type,Dummy,
27,Mas Vnr Area,wall_area,Dummy,
28,Exter Qual,exterior_qual,Dummy,
29,Exter Cond,exterior_cond,Dummy,
30,Foundation,foundation_type,Dummy,
31,Bsmt Qual,bsmt_qual,Dummy,
32,Bsmt Cond,bsmt_cond,Dummy,
33,Bsmt Exposure,bsmt_area,Dummy,
34,BsmtFin Type 1,bsmt_type1_score,Dummy,
35,BsmtFin SF 1,bsmt_type1_area,Scale,Yes
36,BsmtFin Type 2,bsmt_type2_score,Dummy,
37,BsmtFin SF 2,bsmt_type2_area,Scale,Yes
38,Bsmt Unf SF,bsmt_unfinish_area,Scale,Yes
39,Total Bsmt SF,bsmt_total_area,Scale,Yes
40,Heating,heating_type,Dummy,
41,Heating QC,heating_cond,Dummy,
42,Central Air,central_aircond,Dummy,
43,Electrical,electrical_type,Dummy,
44,1st Flr SF,floor_1_area,Scale,Yes
45,2nd Flr SF,floor_2_area,Scale,Yes
46,Low Qual Fin SF,floor_lowqual_total_area,Scale,Yes
47,Gr Liv Area,grd_total_area,Scale,Yes
48,Bsmt Full Bath,bath_full_bsmt_num,Scale,Yes
49,Bsmt Half Bath,bath_half_bsmt_num,Scale,Yes
50,Full Bath,bath_full_grd_num,Scale,Yes
51,Half Bath,bath_half_grd_num,Scale,Yes
52,Bedroom AbvGr,bedroom_grd_num,Scale,Yes
53,Kitchen AbvGr,kitchen_num,Scale,Yes
54,Kitchen Qual,kitchen_qual,Dummy,
55,TotRms AbvGrd,rooms_num,Scale,Yes
56,Functional,house_fn,Dummy,
57,Fireplaces,fireplace_num,Scale,Yes
58,Fireplace Qu,fireplace_score,Dummy,
59,Garage Type,garage_type,Dummy,
60,Garage Yr Blt,garage_year,,
61,Garage Finish,garage_finish,Dummy,
62,Garage Cars,garage_car_num,Scale,Yes
63,Garage Area,garage_area,Scale,Yes
64,Garage Qual,garage_qual,Dummy,
65,Garage Cond,garage_cond,Dummy,
66,Paved Drive,driveway_type,Dummy,
67,Wood Deck SF,wooddeck_area,Scale,Yes
68,Open Porch SF,porch_open_area,Scale,Yes
69,Enclosed Porch,porch_enclosed_area,Scale,Yes
70,3Ssn Porch,porch_3season_area,Scale,Yes
71,Screen Porch,porch_screen_area,Scale,Yes
72,Pool Area,pool_area,Scale,Yes
73,Pool QC,pool_qual,Dummy,
74,Fence,fence_qual,Dummy,
75,Misc Feature,misc_feature,Dummy,
76,Misc Val,misc_value,Scale,Yes
77,Mo Sold,sold_month,Date,
78,Yr Sold,sold_year,Date,
79,Sale Type,sale_type,Dummy,
80,SalePrice,sale_price,Target,
